SO303926        ,PHOENIX VEHICLE MANAGEMENT (SCOTLAND) LLP                                                                               ,             4098268,             3635093,       NULL,7484  ,PHOENIX RETAIL PARK                                                                                 ,LINWOOD ROAD                                                                                        ,PAISLEY                                                                                             ,RENFREWSHIRE                                                                                        ,NULL                                                                                                ,PAISLEY             ,RENFREWSHIRE        ,PA1 2BH 
SO303804        ,R & D PLUMBING & HEATING SERVICES LLP                                                                                   ,             3352855,              103092,       NULL,4533  ,UNIT 4 CROMBIE ROAD                                                                                 ,ABERDEEN                                                                                            ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,ABERDEEN            ,ABERDEENSHIRE       ,AB11 9QQ
SO303718        ,PJ STIRLING LLP                                                                                                         ,             6116240,             4398613,        145,0     ,C/O EQ ACCOUNTANTS WESTBY                                                                           ,64 WEST HIGH STREET                                                                                 ,FORFAR                                                                                              ,NULL                                                                                                ,NULL                                                                                                ,FORFAR              ,ANGUS               ,DD8 1BJ 
SO303611        ,CONTEMPORARY WELDING TECHNOLOGIES LLP                                                                                   ,             2204970,              103402,       NULL,7484  ,39 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO303419        ,SEP IV GP LLP                                                                                                           ,             4200000,                NULL,          3,7484  ,17 BLYTHSWOOD SQUARE                                                                                ,GLASGOW                                                                                             ,SCOTLAND                                                                                            ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G2 4AD  
SO303372        ,WEST ALPHATEL LLP                                                                                                       ,             5328373,              425488,       NULL,5170  ,39 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,UK                                                                                                  ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO303241        ,FORMAT SYSTEMS LLP                                                                                                      ,             3415261,                3790,       NULL,7484  ,41 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO303232        ,JOHNSTON CARMICHAEL LLP                                                                                                 ,         33401000000,                NULL,        495,7412  ,BISHOP'S COURT 29 ALBYN PLACE                                                                       ,ABERDEEN                                                                                            ,ABERDEENSHIRE                                                                                       ,NULL                                                                                                ,NULL                                                                                                ,ABERDEEN            ,ABERDEENSHIRE       ,AB10 1YL
SO303104        ,MEARS SCOTLAND LLP                                                                                                      ,         27259000000,          1322000000,          2,7484  ,ELLISMUIR WAY                                                                                       ,TANNOCHSIDE BUSINESS PARK                                                                           ,UDDINGSTON                                                                                          ,GLASGOW                                                                                             ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G71 5PW 
SO302969        ,LYONS DAVIDSON SCOTLAND LLP                                                                                             ,             2585965,                NULL,       NULL,7411  ,ENTERPRISE HOUSE                                                                                    ,34 EARL GREY STREET                                                                                 ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 9BN 
SO303158        ,KILTEARN PARTNERS LLP                                                                                                   ,             5636404,                NULL,          5,9600  ,3 EXCHANGE PLACE SEMPLE STREET                                                                      ,EDINBURGH                                                                                           ,MIDLOTHIAN                                                                                          ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 8BL 
SO302571        ,FA ECOLINE LLP                                                                                                          ,             2090105,              337816,       NULL,7484  ,39 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO302563        ,RICHMARK TRADING LLP                                                                                                    ,             4075236,              416231,       NULL,1411  ,SUITE 20 196 ROSE STREET                                                                            ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH2 4AT 
SO302546        ,AGRICULTTRADE LLP                                                                                                       ,             2727838,              185991,       NULL,7484  ,39 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO302901        ,CALBRIDGE INVESTMENTS LLP                                                                                               ,             2255563,               54846,       NULL,7484  ,MITCHELL HOUSE 5                                                                                    ,MITCHELL STREET SUITE 4110                                                                          ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 7BD 
SO302506        ,BIZZCLICK LLP                                                                                                           ,             4160421,               20393,          2,4521  ,41 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO302460        ,OILTRADE MARINE LLP                                                                                                     ,            18698187,              186686,       NULL,7484  ,43 DUKE STREET                                                                                      ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO302336        ,SEEMIS GROUP LLP                                                                                                        ,             3396409,                NULL,       NULL,7260  ,191 WEST GEORGE STREET                                                                              ,GLASGOW                                                                                             ,LANARKSHIRE                                                                                         ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G2 2LD  
SO302228        ,PAULL & WILLIAMSONS LLP                                                                                                 ,             9756000,                NULL,         99,7411  ,UNION PLAZA (6TH FLOOR)                                                                             ,1 UNION WYND                                                                                        ,ABERDEEN                                                                                            ,NULL                                                                                                ,NULL                                                                                                ,ABERDEEN            ,ABERDEENSHIRE       ,AB10 1DQ
SO302223        ,CITY PROPERTY (GLASGOW) LLP                                                                                             ,             2023213,                NULL,         34,9600  ,229 GEORGE STREET                                                                                   ,GLASGOW                                                                                             ,LANARKSHIRE                                                                                         ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G1 1QU  
SO302146        ,CORDIA (CONTRACTS) LLP                                                                                                  ,          5113000000,          -147000000,       NULL,5511  ,BLAIR COURT,                                                                                        ,PORT DUNDAS BUSINESS PARK                                                                           ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G4 9XE  
SO302145        ,CORDIA (CARE) LLP                                                                                                       ,         60323000000,            -2000000,          2,7484  ,BLAIR COURT,                                                                                        ,PORT DUNDAS BUSINESS PARK                                                                           ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G4 9XE  
SO302144        ,CORDIA (SERVICES) LLP                                                                                                   ,        138183000000,         10188000000,       4829,5552  ,BLAIR COURT,                                                                                        ,PORT DUNDAS BUSINESS PARK                                                                           ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G4 9XE  
SO302035        ,PENTA CAPITAL LLP                                                                                                       ,          3684000000,                NULL,          2,7484  ,150 ST. VINCENT STREET                                                                              ,GLASGOW                                                                                             ,STRATHCLYDE                                                                                         ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G2 5NE  
SO302032        ,EAST EUROPEAN FISH COMPANY LLP                                                                                          ,            26814070,               60780,       NULL,7484  ,39-43 DUKE STREET                                                                                   ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH6 8HH 
SO301937        ,EAST COAST VINERS GRAIN LLP                                                                                             ,            65708326,             1472741,         55,9305  ,BROADWOOD DRUMLITHIE                                                                                ,STONEHAVEN                                                                                          ,ABERDEENSHIRE                                                                                       ,NULL                                                                                                ,NULL                                                                                                ,STONEHAVEN          ,KINCARDINESHIRE     ,AB39 3XA
SO301921        ,WARNERS SOLICITORS LLP                                                                                                  ,             3488901,                NULL,       NULL,7484  ,22 ST. PATRICK SQUARE                                                                               ,EDINBURGH                                                                                           ,MIDLOTHIAN                                                                                          ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH8 9EY 
SO301806        ,STRONACHS LLP                                                                                                           ,             6893557,                NULL,         90,7411  ,34 Albyn Place                                                                                      ,Aberdeen                                                                                            ,Aberdeenshire                                                                                       ,NULL                                                                                                ,NULL                                                                                                ,ABERDEEN            ,ABERDEENSHIRE       ,AB10 1FW
SO301769        ,PENTECH VENTURES LLP                                                                                                    ,             2237792,                NULL,          2,6523  ,39 MELVILLE STREET                                                                                  ,EDINBURGH                                                                                           ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 7JF 
SO301705        ,SERVICE GLASGOW LLP                                                                                                     ,            55720000,             8559000,        408,7260  ,220 HIGH STREET                                                                                     ,GLASGOW                                                                                             ,NULL                                                                                                ,NULL                                                                                                ,NULL                                                                                                ,GLASGOW             ,LANARKSHIRE         ,G4 0QW  
SO301699        ,MACROBERTS LLP                                                                                                          ,            17594283,                NULL,        154,6523  ,EXCEL HOUSE                                                                                         ,30 SEMPLE STREET                                                                                    ,EDINBURGH                                                                                           ,MIDLOTHIAN                                                                                          ,NULL                                                                                                ,EDINBURGH           ,MIDLOTHIAN          ,EH3 8BL 
